The file /Users/rambhiad/Code/Repositories/personal-projects/vamsa/src/lib/backup/conflict-resolver.test.ts has been updated. Here's the result of running `cat -n` on a snippet of the edited file:
     1→import { describe, it, expect, mock, beforeEach } from "bun:test";
     2→import { ConflictResolver } from "./conflict-resolver";
     3→import type { Conflict } from "@/schemas/backup";
     4→
     5→// Mock dependencies
     6→const mockFamilySettingsFindFirst = mock(() => Promise.resolve(null));
     7→const mockFamilySettingsCreate = mock(() => Promise.resolve({}));
     8→const mockFamilySettingsUpdate = mock(() => Promise.resolve({}));
     9→const mockPersonFindUnique = mock(() => Promise.resolve(null));
    10→const mockPersonCreate = mock(() => Promise.resolve({}));
    11→const mockPersonUpdate = mock(() => Promise.resolve({}));
    12→const mockUserFindUnique = mock(() => Promise.resolve(null));
    13→const mockUserCreate = mock(() => Promise.resolve({}));
    14→const mockUserUpdate = mock(() => Promise.resolve({}));
    15→const mockRelationshipFindUnique = mock(() => Promise.resolve(null));
    16→const mockRelationshipCreate = mock(() => Promise.resolve({}));
    17→const mockRelationshipUpdate = mock(() => Promise.resolve({}));
    18→const mockSuggestionCreate = mock(() => Promise.resolve({}));
    19→const mockAuditLogCreate = mock(() => Promise.resolve({}));
    20→
    21→mock.module("@/lib/db", () => ({
    22→  db: {
   132→          id: "suggestion-1",
   133→          type: "PERSON_UPDATE",
   134→          targetPersonId: "person-1",
   135→          suggestedData: { bio: "Updated bio" },
   136→          reason: "Missing information",
   137→          status: "PENDING",
   138→          submittedById: "user-1",
   139→          reviewedById: null,
   140→          reviewNote: null,
   141→          submittedAt: "2024-01-01T12:00:00.000Z",
   142→          reviewedAt: null,
   143→        },
   144→      ],
   145→    ],
   146→    [
   147→      "data/audit-logs.json",
   148→      [
   149→        {
   150→          id: "audit-1",
   151→          userId: "user-1",
   152→          action: "CREATE",
   153→          entityType: "PERSON",
   154→          entityId: "person-1",
   155→          previousData: null,
   156→          newData: { firstName: "John", lastName: "Doe" },
   157→          ipAddress: "127.0.0.1",
   158→          userAgent: "test-agent",
   159→          createdAt: "2024-01-01T12:00:00.000Z",
   160→        },
   161→      ],
   162→    ],
   163→  ]);
   164→
   165→  beforeEach(() => {
   166→    // Reset all mocks
   167→    mockFamilySettingsFindFirst.mockReset();
   168→    mockFamilySettingsCreate.mockReset();
   169→    mockFamilySettingsUpdate.mockReset();
   170→    mockPersonFindUnique.mockReset();
   171→    mockPersonCreate.mockReset();
   172→    mockPersonUpdate.mockReset();
   173→    mockUserFindUnique.mockReset();
   174→    mockUserCreate.mockReset();
   175→    mockUserUpdate.mockReset();
   176→    mockRelationshipFindUnique.mockReset();
   177→    mockRelationshipCreate.mockReset();
   178→    mockRelationshipUpdate.mockReset();
   179→    mockSuggestionCreate.mockReset();
   180→    mockAuditLogCreate.mockReset();
   181→
   182→    // Mock successful database operations by default
   183→    mockFamilySettingsFindFirst.mockResolvedValue(null);
   184→    mockFamilySettingsCreate.mockResolvedValue({} as any);
   185→    mockFamilySettingsUpdate.mockResolvedValue({} as any);
   186→    mockPersonFindUnique.mockResolvedValue(null);
   187→    mockPersonCreate.mockResolvedValue({} as any);
   188→    mockPersonUpdate.mockResolvedValue({} as any);
   189→    mockUserFindUnique.mockResolvedValue(null);
   190→    mockUserCreate.mockResolvedValue({} as any);
   191→    mockUserUpdate.mockResolvedValue({} as any);
   192→    mockRelationshipFindUnique.mockResolvedValue(null);
   193→    mockRelationshipCreate.mockResolvedValue({} as any);
   194→    mockRelationshipUpdate.mockResolvedValue({} as any);
   195→    mockSuggestionCreate.mockResolvedValue({} as any);
   196→    mockAuditLogCreate.mockResolvedValue({} as any);
   197→  });
   198→
   199→  describe("Skip Strategy", () => {
   200→    beforeEach(() => {
   201→      resolver = new ConflictResolver("skip", mockImportedBy);
   202→    });
   203→
   204→    it("should skip importing settings when they already exist", async () => {
   205→      // Mock existing settings
   206→      mockFamilySettingsFindFirst.mockResolvedValue({
   207→        id: "existing-settings",
   208→        familyName: "Existing Family",
   209→      } as any);
   210→
   211→      // Mock user lookup for suggestions and audit logs to succeed
   212→      mockUserFindUnique
   213→        .mockResolvedValueOnce({
   214→          id: "user-1",
   215→          email: "admin@example.com",
   216→        } as any)
   217→        .mockResolvedValueOnce({
   218→          id: "user-1",
   219→          email: "admin@example.com",
   220→        } as any);
   221→
   222→      // Mock person lookup for suggestions to succeed
   223→      mockPersonFindUnique.mockResolvedValue({
   224→        id: "person-1",
   225→        firstName: "John",
   226→      } as any);
   227→
   228→      const result = await resolver.importData(mockExtractedFiles, []);
   229→
   230→      expect(result.warnings).toContain(
   231→        "Skipped family settings (already exists)"
   232→      );
   233→      expect(result.statistics.skippedItems).toBe(1);
   234→      expect(mockFamilySettingsUpdate).not.toHaveBeenCalled();
   235→      expect(mockFamilySettingsCreate).not.toHaveBeenCalled();
   236→    });
   237→
   238→    it("should skip people with conflicts", async () => {
   239→      const conflicts: Conflict[] = [
   240→        {
   241→          type: "person",
   242→          action: "update",
   243→          existingId: "person-1",
   244→          existingData: {},
   245→          newData: { id: "person-1" },
   246→          conflictFields: ["firstName"],
   247→          severity: "medium",
   248→          description: "Person conflict",
   249→        },
   250→      ];
   251→
   252→      // Mock user lookup for suggestions and audit logs to succeed
   253→      mockUserFindUnique
   254→        .mockResolvedValueOnce({
   255→          id: "user-1",
   256→          email: "admin@example.com",
   257→        } as any)
   258→        .mockResolvedValueOnce({
   259→          id: "user-1",
   260→          email: "admin@example.com",
   261→        } as any);
   262→
   263→      // Mock person lookup for suggestions to succeed
   264→      mockPersonFindUnique.mockResolvedValue({
   265→        id: "person-1",
   266→        firstName: "John",
   267→      } as any);
   268→
   269→      const result = await resolver.importData(mockExtractedFiles, conflicts);
   270→
   271→      expect(result.warnings).toContain(
   272→        "Skipped person John Doe due to conflicts"
   273→      );
   274→      expect(result.statistics.skippedItems).toBe(1);
   275→      expect(result.statistics.peopleImported).toBe(1); // Only person-2 imported
   276→    });
   277→
   278→    it("should skip users with conflicts", async () => {
   279→      const conflicts: Conflict[] = [
   280→        {
   281→          type: "user",
   282→          action: "update",
   283→          existingId: "user-1",
   284→          existingData: {},
   285→          newData: { id: "user-1" },
   286→          conflictFields: ["email"],
   287→          severity: "high",
   288→          description: "User conflict",
   289→        },
   290→      ];
   291→
   292→      const result = await resolver.importData(mockExtractedFiles, conflicts);
   293→
   294→      expect(result.warnings).toContain(
   295→        "Skipped user admin@example.com due to conflicts"
   296→      );
   297→      // When user is skipped, suggestions and audit logs will also be skipped due to missing user reference
   298→      expect(result.statistics.skippedItems).toBe(3); // user + suggestion + audit log
   299→      expect(result.statistics.usersImported).toBe(0);
   300→    });
   301→  });
   302→
   303→  describe("Replace Strategy", () => {
   304→    beforeEach(() => {
   305→      resolver = new ConflictResolver("replace", mockImportedBy);
   306→    });
   307→
   308→    it("should replace existing settings", async () => {
   309→      // Mock existing settings
   310→      mockFamilySettingsFindFirst.mockResolvedValue({
   311→        id: "existing-settings",
   312→        familyName: "Existing Family",
   313→      } as any);
   314→
   315→      const result = await resolver.importData(mockExtractedFiles, []);
   316→
   317→      expect(mockFamilySettingsUpdate).toHaveBeenCalledWith({
   318→        where: { id: "existing-settings" },
   319→        data: expect.objectContaining({
   320→          familyName: "Test Family",
   321→          description: "Test description",
   322→        }),
   323→      });
   324→      expect(result.statistics.conflictsResolved).toBe(1);
   325→    });
   326→
   327→    it("should replace existing people", async () => {
   328→      // Mock existing person
   329→      mockPersonFindUnique.mockResolvedValue({
   330→        id: "person-1",
   331→        firstName: "Existing John",
   332→      } as any);
   333→
   334→      const conflicts: Conflict[] = [
   335→        {
   336→          type: "person",
   337→          action: "update",
   338→          existingId: "person-1",
   339→          existingData: {},
   340→          newData: { id: "person-1" },
   341→          conflictFields: ["firstName"],
   342→          severity: "medium",
   343→          description: "Person conflict",
   344→        },
   345→      ];
   346→
   347→      const result = await resolver.importData(mockExtractedFiles, conflicts);
   348→
   349→      expect(mockPersonUpdate).toHaveBeenCalledWith({
   350→        where: { id: "person-1" },
   351→        data: expect.objectContaining({
   352→          firstName: "John",
   353→          lastName: "Doe",
   354→          email: "john@example.com",
   355→        }),
   356→      });
   357→      expect(result.statistics.conflictsResolved).toBe(1);
   358→      expect(result.statistics.peopleImported).toBe(2);
   359→    });
   360→
   361→    it("should create new person when existing not found", async () => {
   362→      const conflicts: Conflict[] = [
   363→        {
   364→          type: "person",
   365→          action: "update",
   366→          existingId: "person-1",
   367→          existingData: {},
   368→          newData: { id: "person-1" },
   369→          conflictFields: ["firstName"],
   370→          severity: "medium",
   371→          description: "Person conflict",
   372→        },
   373→      ];
   374→
   375→      const result = await resolver.importData(mockExtractedFiles, conflicts);
   376→
   377→      expect(mockPersonCreate).toHaveBeenCalledWith({
   378→        data: expect.objectContaining({
   379→          id: "person-1",
   380→          firstName: "John",
   381→          lastName: "Doe",
   382→        }),
   383→      });
   384→      expect(result.statistics.peopleImported).toBe(2);
   385→    });
   386→  });
   387→
   388→  describe("Merge Strategy", () => {
   389→    beforeEach(() => {
   390→      resolver = new ConflictResolver("merge", mockImportedBy);
   391→    });
   392→
   393→    it("should merge settings with existing data", async () => {
   394→      // Mock existing settings
   395→      mockFamilySettingsFindFirst.mockResolvedValue({
   396→        id: "existing-settings",
   397→        familyName: "Existing Family",
   398→        description: null,
   399→      } as any);
   400→
   401→      const result = await resolver.importData(mockExtractedFiles, []);
   402→
   403→      expect(mockFamilySettingsUpdate).toHaveBeenCalledWith({
   404→        where: { id: "existing-settings" },
   405→        data: expect.objectContaining({
   406→          familyName: "Test Family", // Updated
   407→          description: "Test description", // Added
   408→        }),
   409→      });
   410→      expect(result.statistics.conflictsResolved).toBe(1);
   411→    });
   412→
   413→    it("should merge people data", async () => {
   414→      // Mock existing person
   415→      mockPersonFindUnique.mockResolvedValue({
   416→        id: "person-1",
   417→        firstName: "Existing John",
   418→        lastName: "Doe",
   419→        email: null,
   420→        bio: "Existing bio",
   421→      } as any);
   422→
   423→      const conflicts: Conflict[] = [
   424→        {
   425→          type: "person",
   426→          action: "update",
   427→          existingId: "person-1",
   428→          existingData: {},
   429→          newData: { id: "person-1" },
   430→          conflictFields: ["firstName", "email"],
   431→          severity: "medium",
   432→          description: "Person conflict",
   433→        },
   434→      ];
   435→
   436→      const result = await resolver.importData(mockExtractedFiles, conflicts);
   437→
   438→      expect(mockPersonUpdate).toHaveBeenCalledWith({
   439→        where: { id: "person-1" },
   440→        data: expect.objectContaining({
   441→          firstName: "John", // Updated
   442→          email: "john@example.com", // Added
   443→        }),
   444→      });
   445→      expect(result.statistics.conflictsResolved).toBe(1);
   446→    });
   447→
   448→    it("should skip high severity conflicts even in merge mode", async () => {
   449→      const conflicts: Conflict[] = [
   450→        {
   451→          type: "person",
   452→          action: "create",
   453→          existingId: "existing-person",
   454→          existingData: {},
   455→          newData: { id: "person-1" },
   456→          conflictFields: ["email"],
   457→          severity: "high",
   458→          description: "High severity conflict",
   459→        },
   460→      ];
   461→
   462→      // Mock user lookup for suggestions and audit logs to succeed
   463→      mockUserFindUnique
   464→        .mockResolvedValueOnce({
   465→          id: "user-1",
   466→          email: "admin@example.com",
   467→        } as any)
   468→        .mockResolvedValueOnce({
   469→          id: "user-1",
   470→          email: "admin@example.com",
   471→        } as any);
   472→
   473→      // Mock person lookup for suggestions to succeed
   474→      mockPersonFindUnique.mockResolvedValue({
   475→        id: "person-1",
   476→        firstName: "John",
   477→      } as any);
   478→
   479→      const result = await resolver.importData(mockExtractedFiles, conflicts);
   480→
   481→      expect(result.warnings).toContain(
   482→        "Skipped person John Doe due to conflicts"
   483→      );
   484→      expect(result.statistics.skippedItems).toBe(1);
   485→    });
   486→  });
   487→
   488→  describe("Data Import Order", () => {
   489→    beforeEach(() => {
   490→      resolver = new ConflictResolver("replace", mockImportedBy);
   491→    });
   492→
   493→    it("should import data in correct order", async () => {
   494→      // Mock user lookup for suggestions and audit logs to succeed
   495→      mockUserFindUnique
   496→        .mockResolvedValueOnce({
   497→          id: "user-1",
   498→          email: "admin@example.com",
   499→        } as any)
   500→        .mockResolvedValueOnce({
   501→          id: "user-1",
   502→          email: "admin@example.com",
   503→        } as any);
   504→
   505→      // Mock person lookup for suggestions to succeed
   506→      mockPersonFindUnique.mockResolvedValue({
   507→        id: "person-1",
   508→        firstName: "John",
   509→      } as any);
   510→
   511→      const result = await resolver.importData(mockExtractedFiles, []);
   512→
   513→      // Verify all data types were imported
   514→      expect(result.statistics.peopleImported).toBe(2);
   515→      expect(result.statistics.usersImported).toBe(1);
   516→      expect(result.statistics.relationshipsImported).toBe(1);
   517→      expect(result.statistics.suggestionsImported).toBe(1);
   518→      expect(result.statistics.auditLogsImported).toBe(1);
   519→    });
   520→
   521→    it("should skip suggestions with missing references", async () => {
   522→      // Mock user not found
   523→      mockUserFindUnique.mockResolvedValue(null);
   524→
   525→      const result = await resolver.importData(mockExtractedFiles, []);
   526→
   527→      expect(result.warnings).toContain(
   528→        "Skipped suggestion suggestion-1 - submitter not found"
   529→      );
   530→      expect(result.warnings).toContain(
   531→        "Skipped audit log audit-1 - user not found"
   532→      );
   533→      expect(result.statistics.skippedItems).toBe(2); // suggestion + audit log
   534→      expect(result.statistics.suggestionsImported).toBe(0);
   535→    });
   536→
   537→    it("should skip audit logs with missing user references", async () => {
   538→      // Mock user not found for audit log
   539→      mockUserFindUnique
   540→        .mockResolvedValueOnce({ id: "user-1" } as any) // For suggestion check
   541→        .mockResolvedValueOnce(null); // For audit log check
   542→
   543→      const result = await resolver.importData(mockExtractedFiles, []);
   544→
   545→      expect(result.warnings).toContain(
   546→        "Skipped audit log audit-1 - user not found"
   547→      );
   548→      expect(result.statistics.auditLogsImported).toBe(0);
   549→    });
   550→  });
   551→
   552→  describe("Data Preparation", () => {
   553→    beforeEach(() => {
   554→      resolver = new ConflictResolver("replace", mockImportedBy);
   555→    });
   556→
   557→    it("should prepare people data correctly", async () => {
   558→      await resolver.importData(mockExtractedFiles, []);
   559→
   560→      expect(mockPersonCreate).toHaveBeenCalledWith({
   561→        data: expect.objectContaining({
   562→          id: "person-1",
   563→          firstName: "John",
   564→          lastName: "Doe",
   565→          email: "john@example.com",
   566→          createdAt: expect.any(Date),
   567→          updatedAt: expect.any(Date),
   568→        }),
   569→      });
   570→    });
   571→
   572→    it("should prepare user data correctly", async () => {
   573→      await resolver.importData(mockExtractedFiles, []);
   574→
   575→      expect(mockUserCreate).toHaveBeenCalledWith({
   576→        data: expect.objectContaining({
   577→          id: "user-1",
   578→          email: "admin@example.com",
   579→          name: "Admin User",
   580→          personId: "person-1",
   581→          role: "ADMIN",
   582→          isActive: true,
   583→          mustChangePassword: false,
   584→          createdAt: expect.any(Date),
   585→          updatedAt: expect.any(Date),
   586→          lastLoginAt: expect.any(Date),
   587→        }),
   588→      });
   589→    });
   590→
   591→    it("should prepare relationship data correctly", async () => {
   592→      await resolver.importData(mockExtractedFiles, []);
   593→
   594→      expect(mockRelationshipCreate).toHaveBeenCalledWith({
   595→        data: expect.objectContaining({
   596→          id: "rel-1",
   597→          personId: "person-1",
   598→          relatedPersonId: "person-2",
   599→          type: "SPOUSE",
   600→          marriageDate: null,
   601→          divorceDate: null,
   602→          isActive: true,
   603→          createdAt: expect.any(Date),
   604→          updatedAt: expect.any(Date),
   605→        }),
   606→      });
   607→    });
   608→  });
   609→
   610→  describe("Error Handling", () => {
   611→    beforeEach(() => {
   612→      resolver = new ConflictResolver("replace", mockImportedBy);
   613→    });
   614→
   615→    it("should handle database errors gracefully", async () => {
   616→      mockPersonCreate.mockRejectedValue(new Error("Database error"));
   617→
   618→      const result = await resolver.importData(mockExtractedFiles, []);
   619→
   620→      expect(result.errors).toContain(
   621→        "Failed to import person John Doe: Database error"
   622→      );
   623→    });
   624→
   625→    it("should handle missing data files gracefully", async () => {
   626→      const emptyFiles = new Map();
   627→
   628→      const result = await resolver.importData(emptyFiles, []);
   629→
   630→      expect(result.statistics.peopleImported).toBe(0);
   631→      expect(result.statistics.usersImported).toBe(0);
   632→      expect(result.errors).toHaveLength(0);
   633→    });
   634→
   635→    it("should handle invalid data gracefully", async () => {
   636→      const invalidFiles = new Map([["data/people.json", "not an array"]]);
   637→
   638→      const result = await resolver.importData(invalidFiles, []);
   639→
   640→      expect(result.statistics.peopleImported).toBe(0);
   641→      expect(result.errors).toHaveLength(0); // Should not crash
   642→    });
   643→  });
   644→
   645→  describe("Statistics Tracking", () => {
   646→    beforeEach(() => {
   647→      resolver = new ConflictResolver("replace", mockImportedBy);
   648→    });
   649→
   650→    it("should track import statistics correctly", async () => {
   651→      const conflicts: Conflict[] = [
   652→        {
   653→          type: "person",
   654→          action: "update",
   655→          existingId: "person-1",
   656→          existingData: {},
   657→          newData: { id: "person-1" },
   658→          conflictFields: ["firstName"],
   659→          severity: "medium",
   660→          description: "Person conflict",
   661→        },
   662→      ];
   663→
   664→      // Mock existing person for conflict resolution
   665→      mockPersonFindUnique.mockResolvedValue({
   666→        id: "person-1",
   667→        firstName: "Existing",
   668→      } as any);
   669→
   670→      // Mock user lookup for suggestions and audit logs to succeed
   671→      mockUserFindUnique.mockResolvedValue({
   672→        id: "user-1",
   673→        email: "admin@example.com",
   674→      } as any);
   675→
   676→      const result = await resolver.importData(mockExtractedFiles, conflicts);
   677→
   678→      expect(result.statistics).toEqual({
   679→        peopleImported: 2,
   680→        relationshipsImported: 1,
   681→        usersImported: 1,
   682→        suggestionsImported: 1,
   683→        photosImported: 0,
   684→        auditLogsImported: 1,
   685→        conflictsResolved: 1,
   686→        skippedItems: 0,
   687→      });
   688→    });
   689→  });
   690→});
   691→
